measuring point,CON_L5,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,GF3,GF4,RIS12,RIS13,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,RIS3,RIS5,RIS6,RIS9,RIS11,ULS1,ULS2,RIS14,RIS15,ZR1,ZR2,gm_ZR,gm_ZL
sensor number,1,3,4,6,7,8,9,10,11,15,16,21,22,30,31,32,33,34,35,36,37,38,41,42,43,44,45,48,49,50,51,52,53,101,102
sensor range,500,250,250,100,100,100,100,100,100,250,250,100,100,25,250,250,50,50,50,50,50,50,500,500,250,250,250,250,250,100,50,50,50,1,1
sensor height,-0.213,-0.046,0.033,0.233,0.349,0.449,0.599,0.749,0.899,0.083,0.131,0.644,1.144,nan,0.628,0.628,nan,0.999,1.295,1.488,1.154,1.592,-0.285,-0.225,-0.111,0.039,0.139,1.099,1.099,1.68,1.779,1.444,1.883,0.0,0.0
calibration correction mbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01 16:29:11.578,118.39,60.56,35.99,9.81,9.64,8.77,6.54,4.57,1.52,15.81,10.46,30.09,23.02,17.57,45.86,49.73,26.57,1.24,1.14,1.15,0.96,0.64,116.39,93.23,58.71,41.86,38.26,37.53,36.03,12.06,10.37,4.66,3.22,-0.25,62.25
2025-02-01 16:29:11.829,120.03,61.79,36.39,9.81,9.31,8.53,5.97,4.17,1.36,16.02,10.46,30.33,22.77,17.8,46.68,47.89,26.74,1.29,1.22,1.23,1.04,0.6,119.25,92.0,58.1,41.65,38.46,34.67,31.53,12.22,10.25,4.61,3.14,-0.25,62.25
2025-02-01 16:29:12.078,122.89,62.6,37.0,10.45,10.12,9.02,6.13,4.49,1.44,16.43,10.66,31.23,23.91,17.74,45.25,47.48,27.59,1.12,1.06,0.99,0.8,0.52,110.28,89.54,55.25,41.45,38.46,31.2,26.62,13.11,11.23,4.78,3.22,-0.25,62.25
2025-02-01 16:29:12.328,123.71,64.64,37.61,10.05,10.04,9.02,6.62,4.9,1.6,16.02,10.46,31.23,24.16,17.66,45.66,46.67,27.39,1.08,1.18,1.11,1.0,0.6,113.95,92.82,55.66,41.86,38.46,35.08,31.53,13.2,11.31,4.7,3.47,-0.25,62.25
2025-02-01 16:29:12.579,115.94,64.23,37.0,9.81,9.72,8.77,6.37,4.25,1.36,17.24,10.87,30.9,23.91,17.64,45.86,47.08,27.35,1.12,1.14,1.07,0.88,0.6,105.79,87.09,54.64,40.63,37.04,35.29,34.39,13.11,11.23,4.74,3.51,-0.25,62.25
2025-02-01 16:29:12.828,122.48,67.69,41.88,11.43,11.01,9.67,6.7,4.98,2.01,19.29,12.09,27.56,20.66,16.57,45.86,47.89,24.87,1.98,1.79,1.88,1.57,1.26,126.59,110.42,66.04,40.02,35.21,36.1,31.53,10.83,9.07,3.72,2.49,-0.25,62.25
