Date	Time	Ch1:Conce:ppm	Status	Ch2:Conce:ppm	Status	Ch3:Conce:ppm	Status	Ch4:Conce:ppm	Status	Ch5:Conce:ppm	Status
17.2.2025	15:03:09	-58.3642	G	394.918	G	-8.96982	G	77.038	G	246299	G
17.2.2025	15:03:14	-57.8297	G	397.484	G	-8.82429	G	77.0806	G	246295	G
17.2.2025	15:03:19	-58.2144	G	401.624	G	-8.70558	G	77.1154	G	246286	G
17.2.2025	15:03:24	-58.2952	G	402.394	G	-8.81717	G	77.1679	G	246287	G
17.2.2025	15:03:29	-58.4312	G	506.497	G	-8.95682	G	77.2016	G	246127	G
17.2.2025	15:03:34	-58.1382	G	401.06	G	-9.01852	G	77.2127	G	246263	G
17.2.2025	15:03:39	-58.3846	G	395.089	G	-9.07276	G	77.2404	G	246297	G
17.2.2025	15:03:44	-58.1327	G	396.44	G	-9.05902	G	77.1993	G	246311	G
17.2.2025	15:03:49	-58.1762	G	396.334	G	-9.13215	G	77.2348	G	246307	G
17.2.2025	15:03:54	-57.5258	G	395.041	G	-8.95102	G	77.2677	G	246314	G
17.2.2025	15:03:59	-57.7613	G	394.67	G	-9.0037	G	77.2805	G	246297	G
17.2.2025	15:04:04	-58.0622	G	394.802	G	-8.88568	G	77.2707	G	246282	G
17.2.2025	15:04:09	-57.8195	G	394.212	G	-9.15053	G	77.2906	G	246284	G
17.2.2025	15:04:14	-58.3444	G	394.082	G	-9.15979	G	77.2692	G	246294	G
17.2.2025	15:04:19	-57.7747	G	394.244	G	-9.29307	G	77.2436	G	246314	G
17.2.2025	15:04:24	-58.6209	G	394.729	G	-9.18431	G	77.2171	G	246295	G
17.2.2025	15:04:29	-58.0627	G	394.64	G	-9.20658	G	77.264	G	246291	G
17.2.2025	15:04:34	-57.7699	G	395.092	G	-9.38401	G	77.3092	G	246300	G
17.2.2025	15:04:39	-58.3838	G	394.37	G	-9.63027	G	77.3676	G	246317	G
17.2.2025	15:04:44	-58.344	G	393.575	G	-9.71783	G	77.3805	G	246292	G
17.2.2025	15:04:49	-58.0257	G	393.154	G	-9.7359	G	77.4279	G	246300	G
17.2.2025	15:04:54	-58.0046	G	393.241	G	-9.51676	G	77.3933	G	246293	G
17.2.2025	15:04:59	-57.686	G	393.977	G	-9.26466	G	77.3998	G	246290	G
17.2.2025	15:05:04	-57.9904	G	394.481	G	-9.34465	G	77.418	G	246288	G
17.2.2025	15:05:09	-58.5705	G	394.506	G	-9.37225	G	77.401	G	246298	G
17.2.2025	15:05:14	-58.2163	G	394.113	G	-9.35967	G	77.4197	G	246286	G
17.2.2025	15:05:19	-57.5824	G	393.081	G	-9.26306	G	77.4025	G	246283	G
17.2.2025	15:05:24	-58.882	G	392.938	G	-9.26309	G	77.4218	G	246281	G
17.2.2025	15:05:29	-58.284	G	392.912	G	-9.10437	G	77.42	G	246285	G
17.2.2025	15:05:34	-57.4933	G	392.098	G	-9.19416	G	77.3858	G	246297	G
17.2.2025	15:05:39	-58.1153	G	392.976	G	-9.14947	G	77.3534	G	246285	G
17.2.2025	15:05:44	-57.9932	G	392.38	G	-8.95097	G	77.3814	G	246295	G
17.2.2025	15:05:49	-57.6483	G	395.03	G	-8.85253	G	77.4128	G	246290	G
17.2.2025	15:05:54	-58.3538	G	393.661	G	-8.98552	G	77.4321	G	246281	G
17.2.2025	15:05:59	-57.6526	G	393.807	G	-8.87732	G	77.4752	G	246274	G
17.2.2025	15:06:04	-57.8466	G	391.913	G	-8.79074	G	77.4966	G	246271	G
17.2.2025	15:06:09	-58.4253	G	391.985	G	-8.839	G	77.4301	G	246277	G
