measuring point,CON_L1,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,SEG1,GF3,GF4,CONV1,RIS10,RIS11,CONV2,SEG2,SEG3,SEG4,SEG5,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,CON_R1,CON_R2,RIS1,RIS2,RIS3,RIS4,RIS5,ULS1,ULS2,RIS12,RIS13,ZR1,ZR2
sensor number,1,3,4,6,7,8,9,10,11,13,15,16,17,21,22,23,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49,50,51,52,53
sensor range,500,250,250,100,100,100,100,100,100,500,250,250,250,100,100,100,250,250,250,250,25,250,250,50,50,50,50,50,50,500,500,500,500,250,250,250,250,250,100,50,50,50
sensor height,-0.187,-0.046,0.033,0.233,0.349,0.449,0.599,0.749,0.899,-0.245,0.083,0.131,0.178,0.601,1.101,0.478,-0.205,-0.165,-0.084,-0.023,nan,0.628,0.628,nan,0.999,1.295,1.488,1.154,1.592,-0.35,-0.35,-0.29,-0.225,-0.16,-0.128,-0.03,1.056,1.056,1.637,1.735,1.401,1.839
calibration correction mbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-20 14:46:23.967,81.59,31.24,11.6,1.36,1.04,1.1,0.43,-0.32,-0.34,89.83,0.09,1.08,0.46,11.74,10.9,-0.17,69.74,50.26,10.92,0.9,3.26,40.33,39.92,7.42,-0.67,-0.58,-0.56,-0.67,-0.62,125.13,111.64,86.62,62.12,34.68,14.87,12.22,32.63,30.51,8.06,7.93,5.55,4.0
2025-08-20 14:46:24.202,82.81,30.42,11.8,1.44,1.13,1.27,0.43,-0.16,-0.18,91.46,1.52,1.89,0.05,11.99,11.14,0.16,71.58,51.69,12.34,1.51,3.52,41.15,40.94,7.91,-0.46,-0.33,-0.4,-0.54,-0.7,127.56,108.79,88.66,62.53,34.89,15.69,12.83,34.06,30.51,8.39,7.81,5.64,3.96
2025-08-20 14:46:24.452,83.63,30.63,11.8,1.52,1.13,1.19,0.35,-0.16,-0.18,91.87,1.32,2.1,0.05,11.82,11.14,0.07,70.97,51.9,12.75,1.51,3.4,42.17,40.74,7.62,-0.3,-0.33,-0.4,-0.54,-0.62,126.75,112.87,89.89,62.94,35.09,16.51,12.63,34.88,32.55,8.15,7.68,5.59,3.96
2025-08-20 14:46:24.701,83.22,30.42,10.99,1.2,0.96,1.02,0.43,-0.16,-0.1,91.46,1.52,1.69,0.46,11.91,11.22,0.4,70.76,51.08,12.75,2.33,3.36,41.97,40.33,7.62,-0.3,-0.33,-0.4,-0.54,-0.54,127.16,111.64,91.52,65.39,36.72,17.94,12.22,35.08,30.51,7.82,7.6,5.76,3.84
2025-08-20 14:46:24.954,84.86,31.03,11.39,1.2,0.72,0.78,0.35,-0.08,-0.18,90.64,1.11,1.49,0.05,11.74,10.57,-0.01,69.33,49.45,11.53,0.29,3.4,40.74,39.92,7.62,-0.63,-0.45,-0.52,-0.58,-0.46,125.94,112.05,92.33,66.21,37.13,18.14,12.63,34.47,31.12,7.9,7.52,5.55,3.88
2025-08-20 14:46:25.202,84.45,30.63,10.99,0.79,0.72,0.45,0.26,-0.24,-0.18,89.42,0.91,1.49,0.67,12.07,11.22,0.32,69.95,50.06,11.53,1.51,3.58,41.35,38.49,7.7,-0.38,-0.33,-0.48,-0.58,-0.7,125.94,118.57,93.15,65.8,38.14,19.57,13.64,35.08,32.96,8.15,7.68,5.88,4.0
2025-08-20 14:46:25.451,84.86,30.83,11.8,0.96,0.88,0.7,0.26,-0.24,-0.18,90.23,1.73,1.89,0.67,12.64,11.38,0.32,70.76,50.88,12.75,1.92,3.83,41.15,40.53,8.23,-0.34,-0.49,-0.48,-0.54,-0.74,125.94,113.27,91.52,67.03,37.74,18.76,14.25,34.88,31.94,8.23,7.73,5.55,3.92
2025-08-20 14:46:25.701,85.68,31.24,10.78,0.88,0.72,0.78,0.1,-0.24,-0.1,91.05,1.32,1.49,0.26,12.8,11.55,0.16,70.56,50.67,11.53,1.92,3.99,41.15,40.12,8.52,-0.42,-0.37,-0.4,-0.67,-0.42,126.75,117.35,93.56,67.44,38.96,19.17,13.85,34.26,31.94,8.31,7.81,5.59,3.92
2025-08-20 14:46:25.954,86.5,31.44,12.0,1.12,0.88,0.78,0.35,-0.24,-0.18,90.64,0.7,0.47,0.26,12.39,11.63,-0.01,68.72,49.85,11.73,1.31,4.07,40.94,40.74,8.52,-0.54,-0.41,-0.44,-0.5,-0.62,125.53,118.16,91.93,64.16,38.55,18.55,13.64,32.63,28.26,8.15,7.77,5.64,3.92
2025-08-20 14:46:26.201,83.22,30.22,10.99,0.79,0.64,0.53,0.02,-0.48,-0.34,89.42,1.11,1.49,0.67,13.21,11.95,0.16,68.52,50.06,11.12,1.31,4.6,41.97,40.94,8.97,-0.42,-0.49,-0.44,-0.54,-0.7,126.34,114.5,92.74,66.62,38.96,19.17,14.86,32.43,28.87,7.9,7.73,5.68,3.88
2025-08-20 14:46:26.451,84.04,30.83,12.0,1.12,1.04,0.94,0.43,-0.16,-0.1,90.23,1.52,1.89,0.05,13.37,12.12,0.07,69.95,49.65,12.14,1.51,4.83,41.76,40.74,9.45,-0.5,-0.41,-0.44,-0.5,-0.54,126.34,122.24,94.37,68.26,38.96,19.17,15.47,32.63,26.62,8.31,7.85,5.64,3.88
2025-08-20 14:46:26.702,84.45,30.83,11.6,0.88,0.88,0.7,0.51,-0.24,-0.26,91.05,1.32,1.69,0.87,13.62,12.36,0.32,69.74,50.47,12.14,2.12,4.93,42.17,41.56,9.74,-0.38,-0.45,-0.4,-0.42,-0.5,126.34,115.72,96.0,69.49,40.18,20.19,15.47,31.82,28.26,8.39,7.81,5.76,3.92
2025-08-20 14:46:26.951,82.81,31.03,12.0,1.28,1.04,0.86,0.35,-0.32,-0.26,91.05,0.91,0.87,0.26,14.19,13.09,0.32,69.13,49.65,11.53,1.31,4.66,41.56,41.15,9.82,-0.42,-0.37,-0.4,-0.46,-0.5,125.53,112.87,96.41,71.12,41.4,21.01,15.47,30.8,28.67,8.88,8.38,5.72,4.04
2025-08-20 14:46:27.202,83.22,30.22,11.6,1.04,0.88,0.61,0.1,-0.48,-0.26,91.05,1.52,1.69,0.67,14.02,12.69,0.32,69.95,51.08,11.53,0.9,4.77,41.97,39.72,9.78,-0.34,-0.53,-0.4,-0.54,-0.66,126.34,123.87,95.19,68.26,41.2,21.21,15.47,32.22,31.12,9.04,8.26,5.68,4.04
2025-08-20 14:46:27.452,83.63,29.81,11.6,0.71,0.56,0.37,-0.14,-0.24,-0.18,90.64,0.91,1.49,0.46,14.11,12.85,0.32,70.56,51.28,10.92,1.71,4.83,41.76,39.72,9.86,-0.34,-0.41,-0.44,-0.58,-0.54,126.34,118.57,96.82,71.12,41.81,23.05,15.68,32.84,31.12,8.96,8.21,5.64,3.96
2025-08-20 14:46:27.701,83.63,30.22,11.8,0.39,0.31,0.37,0.02,-0.32,-0.1,90.64,0.7,0.87,0.67,14.27,13.01,0.16,69.74,50.67,12.95,1.92,4.97,41.97,39.92,10.02,-0.42,-0.45,-0.44,-0.54,-0.66,127.16,121.83,97.23,71.53,42.62,24.28,15.27,35.9,35.01,8.88,8.21,5.68,4.08
2025-08-20 14:46:27.952,82.81,30.02,10.78,0.39,0.31,0.21,-0.22,-0.24,-0.26,90.64,0.5,0.87,0.26,14.51,13.17,0.32,69.13,50.67,11.53,0.9,5.05,41.76,37.67,10.14,-0.46,-0.41,-0.4,-0.5,-0.54,125.94,120.61,97.63,71.94,43.44,23.25,16.29,35.08,34.6,9.29,8.34,5.88,4.0
2025-08-20 14:46:28.202,81.59,30.02,10.17,0.63,0.4,0.45,0.26,-0.08,0.14,91.46,0.91,1.08,0.87,14.68,13.34,0.4,70.15,49.24,11.73,0.9,5.24,41.76,38.69,10.35,-0.3,-0.53,-0.52,-0.5,-0.58,126.34,117.76,96.82,69.08,41.81,22.85,16.29,36.1,32.96,8.96,8.42,5.76,3.96
2025-08-20 14:46:28.451,82.41,30.22,10.17,0.06,0.15,0.37,-0.06,-0.4,-0.1,90.64,0.7,0.47,0.26,15.08,13.34,0.32,69.54,50.26,11.53,0.9,5.36,42.17,39.1,10.51,-0.34,-0.41,-0.4,-0.58,-0.62,126.75,121.42,95.6,69.49,40.79,22.23,16.9,34.26,31.12,9.61,8.54,5.92,4.04
2025-08-20 14:46:28.702,81.18,29.0,9.77,0.39,0.23,0.21,0.02,-0.32,-0.18,91.05,0.7,1.28,0.26,15.08,13.42,0.16,69.54,49.85,11.93,0.69,5.28,41.76,40.53,10.84,-0.54,-0.37,-0.44,-0.5,-0.58,126.75,112.05,97.63,71.53,42.22,22.23,16.49,35.69,32.76,9.37,8.74,5.76,4.13
2025-08-20 14:46:28.954,82.0,30.02,11.19,0.31,0.15,0.53,0.1,-0.24,-0.1,90.23,0.7,0.67,-0.56,14.92,13.5,-0.01,70.56,50.47,10.92,1.71,5.19,40.74,39.51,10.55,-0.63,-0.49,-0.52,-0.71,-0.58,125.13,118.98,94.78,68.26,40.99,22.03,15.47,35.69,32.76,9.53,8.74,5.72,4.04
2025-08-20 14:46:29.210,79.54,29.4,10.58,0.63,0.48,0.37,-0.06,-0.4,-0.34,90.64,0.7,0.67,0.26,14.51,13.09,0.16,69.13,49.85,10.31,0.49,5.24,40.94,38.28,10.43,-0.46,-0.49,-0.52,-0.67,-0.62,125.53,111.64,95.19,69.08,41.61,22.23,16.49,37.12,35.01,9.45,8.62,5.59,4.04
2025-08-20 14:46:29.460,81.18,30.02,10.58,0.63,0.4,0.7,0.26,-0.16,-0.1,91.87,0.91,0.47,0.46,14.68,13.01,0.16,69.33,50.06,11.32,0.49,5.46,41.15,38.08,10.55,-0.46,-0.33,-0.4,-0.5,-0.7,125.13,114.09,96.41,70.3,43.85,23.05,15.88,34.06,26.22,9.12,8.3,5.43,3.76
2025-08-20 14:46:29.710,82.81,29.81,9.77,0.88,0.4,0.7,0.26,-0.4,-0.1,90.23,0.5,0.87,0.05,14.76,13.01,0.24,70.56,50.67,11.53,1.1,5.46,40.74,38.9,10.55,-0.46,-0.49,-0.44,-0.5,-0.66,123.91,122.65,96.0,69.9,41.81,22.85,16.08,30.8,21.31,8.96,8.3,5.59,4.0
2025-08-20 14:46:29.967,81.59,29.2,9.97,0.96,0.64,0.78,0.02,-0.24,-0.34,91.05,0.5,0.67,-0.15,14.68,12.69,-0.17,70.15,50.26,11.32,1.1,5.19,40.53,38.49,10.51,-0.42,-0.53,-0.44,-0.58,-0.62,125.13,116.53,95.6,69.49,41.4,22.03,15.68,27.53,21.1,8.88,8.54,5.59,3.92
2025-08-20 14:46:30.210,82.41,29.61,10.58,1.28,1.29,1.1,0.43,-0.08,-0.26,91.46,0.5,1.08,0.26,14.68,12.77,0.07,71.38,51.08,11.93,1.71,5.3,41.15,40.12,10.55,-0.38,-0.45,-0.4,-0.46,-0.62,125.53,118.16,96.41,68.67,41.2,22.64,16.49,26.72,20.9,9.04,8.54,5.72,4.13
2025-08-20 14:46:30.461,82.81,29.81,10.38,1.77,1.53,1.35,0.26,-0.16,-0.26,92.68,1.52,1.89,-0.15,14.92,13.26,0.07,70.97,52.92,12.14,1.92,5.73,40.94,39.92,10.75,-0.46,-0.49,-0.52,-0.58,-0.66,125.13,112.87,96.0,69.08,40.79,22.44,16.9,27.74,21.92,9.2,8.42,5.76,3.96
2025-08-20 14:46:30.711,81.59,30.22,10.78,2.01,1.69,1.43,0.59,-0.24,-0.1,92.68,1.73,2.3,-0.35,15.33,13.26,0.07,71.58,51.9,12.55,2.12,5.89,40.74,39.92,11.08,-0.38,-0.41,-0.4,-0.54,-0.58,125.94,116.94,95.6,67.44,41.4,22.03,17.1,29.78,23.56,9.2,8.46,5.59,3.8
2025-08-20 14:46:30.961,82.41,29.81,11.19,1.61,1.04,0.86,0.18,-0.24,-0.34,91.87,1.32,1.28,0.26,15.66,13.74,0.07,70.15,51.69,12.55,1.71,5.66,40.53,39.72,11.08,-0.46,-0.37,-0.52,-0.58,-0.66,124.32,116.13,96.0,68.26,40.99,21.21,17.1,30.39,25.6,9.53,8.83,5.76,4.13
