measuring point,CON_L1,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,SEG1,GF3,GF4,CONV1,RIS10,RIS11,CONV2,SEG2,SEG3,SEG4,SEG5,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,CON_R1,CON_R2,RIS1,RIS2,RIS3,RIS4,RIS5,ULS1,ULS2,RIS12,RIS13,ZR1,ZR2,gm1,gm2
sensor number,1,3,4,6,7,8,9,10,11,13,15,16,17,21,22,23,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49,50,51,52,53,101,102
sensor range,500,250,250,100,100,100,100,100,100,500,250,250,250,100,100,100,250,250,250,250,25,250,250,50,50,50,50,50,50,500,500,500,500,250,250,250,250,250,100,50,50,50,1,1
sensor height,-0.187,-0.046,0.033,0.233,0.349,0.449,0.599,0.749,0.899,-0.245,0.083,0.131,0.178,0.601,1.101,0.478,-0.205,-0.165,-0.084,-0.023,nan,0.628,0.628,nan,0.999,1.295,1.488,1.154,1.592,-0.35,-0.35,-0.29,-0.225,-0.16,-0.128,-0.03,1.056,1.056,1.637,1.735,1.401,1.839,0.0,0.0
calibration correction mbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-11 18:01:27.961,77.5,25.94,9.16,1.69,1.29,1.43,1.32,1.15,1.03,87.37,1.52,1.89,0.67,13.54,11.87,0.24,66.88,47.2,9.49,2.73,4.26,41.56,39.72,8.4,1.0,0.85,0.91,0.84,0.77,125.13,113.27,92.74,67.85,38.35,17.94,14.05,32.02,27.65,8.63,8.34,6.13,4.74,62.25,124.75
2025-09-11 18:01:28.212,77.91,26.15,9.36,1.69,1.61,1.35,1.57,0.9,0.87,86.56,2.34,2.91,0.67,14.02,12.2,0.24,66.88,47.2,8.68,2.33,4.44,41.97,40.53,8.68,0.8,0.85,0.87,0.72,0.85,126.75,114.5,94.78,68.26,38.14,18.96,15.88,33.65,27.24,9.2,8.58,6.25,4.94,62.25,124.75
2025-09-11 18:01:28.462,79.13,26.55,9.16,2.01,1.77,2.0,1.49,1.15,1.03,86.56,2.54,2.51,1.07,14.02,12.2,0.16,66.47,47.61,8.47,2.73,4.52,41.97,39.92,8.76,0.76,0.85,0.82,0.72,0.81,125.13,110.42,94.37,66.21,38.35,19.57,15.27,32.63,31.74,9.2,8.54,6.13,4.74,62.25,124.75
2025-09-11 18:01:28.715,79.13,26.55,9.97,1.93,1.61,1.68,1.0,0.74,0.55,84.51,0.09,1.28,-1.58,13.37,11.71,-0.33,64.22,46.38,6.64,1.51,4.28,40.74,37.87,8.64,0.59,0.65,0.66,0.72,0.6,122.7,104.31,91.11,64.57,38.75,18.14,13.64,31.41,26.83,8.55,8.38,6.08,4.58,62.25,124.75
2025-09-11 18:01:28.962,77.91,26.96,9.97,2.01,1.94,2.08,1.65,1.56,1.44,86.56,3.36,3.53,1.28,14.11,12.28,0.56,67.29,48.01,9.69,3.55,4.07,41.76,40.33,8.68,1.08,1.02,1.07,0.96,1.05,125.94,114.9,94.37,67.03,40.59,19.17,15.27,31.41,25.19,9.37,8.62,6.25,4.74,62.25,124.75
2025-09-11 18:01:29.212,78.32,27.57,9.36,1.77,1.69,1.76,1.57,1.15,1.11,88.19,2.13,2.91,0.46,13.21,12.04,0.24,67.29,47.61,8.88,2.53,3.83,41.35,40.12,8.23,0.96,0.9,0.95,1.17,0.89,125.13,120.2,94.78,69.08,37.74,17.73,14.46,31.2,25.81,9.04,8.5,6.29,4.82,62.25,124.75
